src/api/posts.js: line 175, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 183, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 191, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 217, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 232, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 284, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 295, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 335, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 339, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 343, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 347, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 384, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 398, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 421, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 445, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 472, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 476, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 480, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 492, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 530, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 535, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 546, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 560, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 585, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 595, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 604, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 615, col 34, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 623, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 636, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/posts.js: line 656, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/search.js: line 17, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 56, col 12, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/search.js: line 63, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 90, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 92, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 95, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 113, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/search.js: line 160, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/tags.js: line 7, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/tags.js: line 11, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/topics.js: line 25, col 35, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 41, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 58, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 63, col 26, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/topics.js: line 96, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 100, col 26, 'object spread property' is only available in ES9 (use 'esversion: 9').
src/api/topics.js: line 131, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 137, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 143, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 149, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 153, col 36, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 157, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 163, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/topics.js: line 169, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
